Date,City,Value
01/01/2010,Colombo,584
01/02/2010,Colombo,606
01/03/2010,Colombo,294
01/04/2010,Colombo,224
01/05/2010,Colombo,296
01/06/2010,Colombo,700
01/07/2010,Colombo,1530
01/08/2010,Colombo,881
01/09/2010,Colombo,312
01/10/2010,Colombo,267
01/11/2010,Colombo,97
01/12/2010,Colombo,146
01/01/2010,Gampaha,608
01/02/2010,Gampaha,623
01/03/2010,Gampaha,306
01/04/2010,Gampaha,205
01/05/2010,Gampaha,295
01/06/2010,Gampaha,381
01/07/2010,Gampaha,686
01/08/2010,Gampaha,417
01/09/2010,Gampaha,174
01/10/2010,Gampaha,101
01/11/2010,Gampaha,77
01/12/2010,Gampaha,87
01/01/2010,Kalutara,121
01/02/2010,Kalutara,124
01/03/2010,Kalutara,119
01/04/2010,Kalutara,114
01/05/2010,Kalutara,185
01/06/2010,Kalutara,294
01/07/2010,Kalutara,420
01/08/2010,Kalutara,215
01/09/2010,Kalutara,122
01/10/2010,Kalutara,56
01/11/2010,Kalutara,23
01/12/2010,Kalutara,19
01/01/2010,Kandy,211
01/02/2010,Kandy,174
01/03/2010,Kandy,116
01/04/2010,Kandy,89
01/05/2010,Kandy,114
01/06/2010,Kandy,176
01/07/2010,Kandy,341
01/08/2010,Kandy,230
01/09/2010,Kandy,91
01/10/2010,Kandy,64
01/11/2010,Kandy,22
01/12/2010,Kandy,16
01/01/2010,Matale,138
01/02/2010,Matale,113
01/03/2010,Matale,35
01/04/2010,Matale,46
01/05/2010,Matale,35
01/06/2010,Matale,35
01/07/2010,Matale,97
01/08/2010,Matale,43
01/09/2010,Matale,23
01/10/2010,Matale,21
01/11/2010,Matale,19
01/12/2010,Matale,45
01/01/2010,N eliya,28
01/02/2010,N eliya,11
01/03/2010,N eliya,15
01/04/2010,N eliya,6
01/05/2010,N eliya,14
01/06/2010,N eliya,13
01/07/2010,N eliya,45
01/08/2010,N eliya,44
01/09/2010,N eliya,21
01/10/2010,N eliya,21
01/11/2010,N eliya,6
01/12/2010,N eliya,3
01/01/2010,Galle,36
01/02/2010,Galle,79
01/03/2010,Galle,86
01/04/2010,Galle,115
01/05/2010,Galle,83
01/06/2010,Galle,145
01/07/2010,Galle,228
01/08/2010,Galle,169
01/09/2010,Galle,105
01/10/2010,Galle,49
01/11/2010,Galle,11
01/12/2010,Galle,7
01/01/2010,Hambantota,49
01/02/2010,Hambantota,128
01/03/2010,Hambantota,85
01/04/2010,Hambantota,45
01/05/2010,Hambantota,29
01/06/2010,Hambantota,82
01/07/2010,Hambantota,161
01/08/2010,Hambantota,122
01/09/2010,Hambantota,67
01/10/2010,Hambantota,24
01/11/2010,Hambantota,7
01/12/2010,Hambantota,10
01/01/2010,Matara,36
01/02/2010,Matara,44
01/03/2010,Matara,41
01/04/2010,Matara,29
01/05/2010,Matara,28
01/06/2010,Matara,67
01/07/2010,Matara,148
01/08/2010,Matara,110
01/09/2010,Matara,62
01/10/2010,Matara,25
01/11/2010,Matara,15
01/12/2010,Matara,9
01/01/2010,Jaffna,858
01/02/2010,Jaffna,878
01/03/2010,Jaffna,170
01/04/2010,Jaffna,145
01/05/2010,Jaffna,82
01/06/2010,Jaffna,237
01/07/2010,Jaffna,236
01/08/2010,Jaffna,96
01/09/2010,Jaffna,40
01/10/2010,Jaffna,78
01/11/2010,Jaffna,79
01/12/2010,Jaffna,121
01/01/2010,Killinochchi,0
01/02/2010,Killinochchi,0
01/03/2010,Killinochchi,0
01/04/2010,Killinochchi,1
01/05/2010,Killinochchi,0
01/06/2010,Killinochchi,4
01/07/2010,Killinochchi,5
01/08/2010,Killinochchi,18
01/09/2010,Killinochchi,12
01/10/2010,Killinochchi,2
01/11/2010,Killinochchi,5
01/12/2010,Killinochchi,6
01/01/2010,Mannar,26
01/02/2010,Mannar,23
01/03/2010,Mannar,14
01/04/2010,Mannar,16
01/05/2010,Mannar,9
01/06/2010,Mannar,55
01/07/2010,Mannar,94
01/08/2010,Mannar,222
01/09/2010,Mannar,62
01/10/2010,Mannar,28
01/11/2010,Mannar,14
01/12/2010,Mannar,5
01/01/2010,Vauniya,336
01/02/2010,Vauniya,91
01/03/2010,Vauniya,40
01/04/2010,Vauniya,14
01/05/2010,Vauniya,6
01/06/2010,Vauniya,21
01/07/2010,Vauniya,27
01/08/2010,Vauniya,22
01/09/2010,Vauniya,12
01/10/2010,Vauniya,3
01/11/2010,Vauniya,3
01/12/2010,Vauniya,4
01/01/2010,Mulative,0
01/02/2010,Mulative,0
01/03/2010,Mulative,0
01/04/2010,Mulative,0
01/05/2010,Mulative,1
01/06/2010,Mulative,0
01/07/2010,Mulative,2
01/08/2010,Mulative,8
01/09/2010,Mulative,7
01/10/2010,Mulative,3
01/11/2010,Mulative,1
01/12/2010,Mulative,1
01/01/2010,Battocolo,305
01/02/2010,Battocolo,314
01/03/2010,Battocolo,202
01/04/2010,Battocolo,184
01/05/2010,Battocolo,48
01/06/2010,Battocolo,59
01/07/2010,Battocolo,59
01/08/2010,Battocolo,25
01/09/2010,Battocolo,4
01/10/2010,Battocolo,8
01/11/2010,Battocolo,13
01/12/2010,Battocolo,29
01/01/2010,Ampara,12
01/02/2010,Ampara,13
01/03/2010,Ampara,25
01/04/2010,Ampara,19
01/05/2010,Ampara,9
01/06/2010,Ampara,6
01/07/2010,Ampara,30
01/08/2010,Ampara,21
01/09/2010,Ampara,19
01/10/2010,Ampara,5
01/11/2010,Ampara,1
01/12/2010,Ampara,8
01/01/2010,Trincomalee,233
01/02/2010,Trincomalee,283
01/03/2010,Trincomalee,145
01/04/2010,Trincomalee,60
01/05/2010,Trincomalee,22
01/06/2010,Trincomalee,38
01/07/2010,Trincomalee,89
01/08/2010,Trincomalee,46
01/09/2010,Trincomalee,21
01/10/2010,Trincomalee,17
01/11/2010,Trincomalee,11
01/12/2010,Trincomalee,22
01/01/2010,Kurunegala,197
01/02/2010,Kurunegala,142
01/03/2010,Kurunegala,99
01/04/2010,Kurunegala,54
01/05/2010,Kurunegala,100
01/06/2010,Kurunegala,151
01/07/2010,Kurunegala,300
01/08/2010,Kurunegala,214
01/09/2010,Kurunegala,78
01/10/2010,Kurunegala,47
01/11/2010,Kurunegala,21
01/12/2010,Kurunegala,26
01/01/2010,Puttalama,208
01/02/2010,Puttalama,189
01/03/2010,Puttalama,86
01/04/2010,Puttalama,50
01/05/2010,Puttalama,51
01/06/2010,Puttalama,106
01/07/2010,Puttalama,137
01/08/2010,Puttalama,82
01/09/2010,Puttalama,49
01/10/2010,Puttalama,31
01/11/2010,Puttalama,25
01/12/2010,Puttalama,45
01/01/2010,Anuradapura,267
01/02/2010,Anuradapura,296
01/03/2010,Anuradapura,131
